Title,Year,EID,Abstract,Publisher,Conference name,Conference date,Authors,Author(s) ID,Authors with affiliations,Source title,Abbreviated Source Title,Cited by
An efficient method for designing learning games for mathematics,2015,2-s2.0-84969172328,"Researchers have shown that games can be extremely effective learning tools; however, designing successful mathematics learning games is challenging. In this paper, we present a unique method for designing games for learning mathematics, in an effort to improve the traditional process by ensuring that there is sufficient integration of mathematics content and that it is more systematic and guided. This method for creating mathematics learning games is based on the study of several factors such as game styles, the mathematics curriculum and past research experiences in mathematics learning games. The evaluation design of the method is presented. This method is improved compared to the traditional design process because it guides the designer from a general perspective, but still gives room for being creative.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Kalloo V., Mohan P., Kinshuk K.",36602839400;57201829380;56849540600;,"Kalloo, V., University of the West Indies, Trinidad and Tobago; Mohan, P., University of the West Indies, Trinidad and Tobago; Kinshuk, K., School of Computing and Information Systems, Athabasca University, Canada","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Plants vs zombies as an empowering learning machine,2015,2-s2.0-84969172287,"What makes the computer game Plants vs. Zombies engaging and a successful learning machine? In the game, vegetables and flowers defeat zombies by shooting peas, coconuts, and watermelons, and delaying the zombies by feeding them walnuts. The game is a classic strategic tower defence game in a vegetarian game universe. The game provides a unique example of seamlessly blending the tutorial into the gameplay. This article analyses the game in order to identify engaging elements that can be used in the design of serious games. Empowerment and well-ordered problems were key elements found in the analysis of the gameplay in Plants vs. Zombies. Empowerment can be split into active participation, meaningful feedback, co-design, identity, and identification. The second key element, i.e. well-ordered problems, can be divided into pleasantly frustrating, cycles of expertise, strategies to achieve goals, and stripped-down version. Meaningful and engaging gameplay makes the player invests a lot of time in playing, and can trigger deep learning. A first-hand experience of playing computer games gives valuable input for designing serious games. The first-hand experiences are also valuable in the classroom when relating game design theory to real-life experiences.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,Majgaard G.,36133638200;,"Majgaard, G., University of Southern Denmark, Campusvej55, Odense M, 5230, Denmark","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Comparing the performance of recovery algorithms for robust face recognition,2015,2-s2.0-84969170565,"The problem of automatically recognizing human faces from the facial images under varying expression and illumination is still attractive. The sparse signal representation is a new topic for object classification and face recognition. Implementing the sparse representation needs using a proper reconstruction algorithm to recover the sparse signal as well. In this paper, the performance of three greedy algorithms named matching pursuit (MP), orthogonal matching pursuit (OMP), compressive sampling matching pursuit (CoSaMP) and two l1-minimization algorithms named primal-dual interior-point (PDIP) and Homotopy are compared according to achieved accuracy, consuming time, and the number of iterations. For this purpose, three well known datasets named, AR, Extended Yale B and Essex University are used.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Ghofrani S., Alikiaamiri S., Khorasani M.",8656111700;57189328886;57200948803;,"Ghofrani, S., Electrical and Electronic Engineering Department, Islamic Azad University, South Tehran Branch, Tehran, Iran; Alikiaamiri, S., Electrical and Electronic Engineering Department, Islamic Azad University, South Tehran Branch, Tehran, Iran; Khorasani, M., Electrical and Electronic Engineering Department, Islamic Azad University, South Tehran Branch, Tehran, Iran","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Path caching in real-time strategy games,2015,2-s2.0-84969160296,"This paper proposes a performance optimization for search-based path-planning simulations with the aim to improve systemic scalability. Instead of clustering path requests per agent group, paths are cached at path-request time. Paths are cloned or re-used after selection based on request characteristics, agent properties and external matching criteria. Graph search effort is reduced proportional to the number of agents with similar nearby destinations, while the unique navigational behavior of each individual agent remains unchanged and intact. Formation coherence is maximal for homogeneous navigation, and agent response time improves significantly for large agent groups compared to solutions without this optimization. Explicit multi-agent consensus models are not required and behavioral discontinuities are avoided.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Saenen I.P., El Sayeh Khalil J., Lambert P., Van De Walle R.",36976475800;57189332424;35262123100;7005287415;,"Saenen, I.P., Ghent University, IMinds, Multimedia Lab, G. Crommenlaan 8 bus 201, Ledeberg - Ghent, B-9050, Belgium; El Sayeh Khalil, J., Ghent University, IMinds, Multimedia Lab, G. Crommenlaan 8 bus 201, Ledeberg - Ghent, B-9050, Belgium; Lambert, P., Ghent University, IMinds, Multimedia Lab, G. Crommenlaan 8 bus 201, Ledeberg - Ghent, B-9050, Belgium; Van De Walle, R., Ghent University, IMinds, Multimedia Lab, G. Crommenlaan 8 bus 201, Ledeberg - Ghent, B-9050, Belgium","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Image block compressed sensing under low sampling-ratio,2015,2-s2.0-84969157719,"Block Compressed Sensing (BCS) is a new image sampling/compressing method with compressed sensing (CS). To solve the performance degradation of BCS-SPL (BCS with Smoothed Projected Landweber algorithm) at low sampling-ratio, we propose a novel algorithm called Total Variation based Adaptive-Sampling BCS with OMP (TVAS-BCS-OMP). TVAS-BCS-OMP blocks the whole image in an overlapping way to eliminate blocking effect. It assigns sampling-ratio depending on each block' texture complexity, which is measured by the block's Total Variation (TV) so that the blocks with big TV can attain higher sampling-ratio. Then only limited nonzero coefficients in each block are retained according to the adaptively assigned sampling-ratio. At last, we sample the blocks and conducts OMP reconstruction respectively. The experimental results show that under the condition of low initial sampling-ratio (lower than 0.2), TVAS-BCS-OMP achieves better reconstruction precision than BCS-SPL, especially in the blocks with complex texture. In addition, the new algorithm costs shorter reconstruction time than BCS-SPL algorithm.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Xie Z., Hongwei H., Xu C.",16032311900;41661489300;57189324339;,"Xie, Z., School of Electronics and Information, Nantong University, Nantong City, China; Hongwei, H., School of Electronics and Information, Nantong University, Nantong City, China; Xu, C., School of Electronics and Information, Nantong University, Nantong City, China","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Plug: A zigbee network for playing ubiquitous games,2015,2-s2.0-84969142684,"In this paper we present the project PLUG (PLay Ubiquitous Game and play more) the aim of which is to deploy a ubiquitous game in a museum. For this, we required wireless communication between players and the game server, and the deployment of a wireless sensor network for monitoring the physiological activity and movements of the players. Among potential technologies, we selected zigbee. Here we describe the project and the challenges of devising a cheap and useful wireless network solution, including our experiences dealing with hardware and software issues. This work can be used as a reference for future game projects.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Topol A., Dupire J., Gal V.",6602660880;8861855100;23396292200;,"Topol, A., CNAM-CEDRIC, 292, rue Saint Martin, Paris, 75003, France; Dupire, J., CNAM-CEDRIC, 292, rue Saint Martin, Paris, 75003, France; Gal, V., CNAM-CEDRIC, 292, rue Saint Martin, Paris, 75003, France","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Developing of evaluation method of motion repeatability by motion capturing,2015,2-s2.0-84969142014,"Motion repeatability is one of the required skills for any sports including tennis. One of the reasons why expert tennis players can accurately serve the ball to another side is their motion repeatability. On the other hand, however the novice players can luckily serve the ball, they are required to practice again and again to repeat the motion. The reliable criterion by the objective numerical indicator is needed for training and evaluation of motion repeatability. In this study, the method of numerical evaluation of motion repeatability would be developed by a motion capture system. The correlation coefficients of each segment angular fluctuation on the serving motions were validated as the criterion for motion repeatability. 17 sensors measure three-dimensional 23 segments and 22 joints angle fluctuations during the two seconds around the ball impact. Three experienced tennis players and three novice players tried to serve ten balls by right arms. The results of the experiments indicated that the repeatability of upper body tends to be stable comparing arms and legs for all the subjects. The correlation coefficients of the fluctuations at the measurement joints that are far from the upper body tend to be low. Comparing the experts and the novices on the motion of the arms and legs, the novices have much variation of correlation coefficients of each motion than the experts. In addition, most of the motion fluctuations of novices are larger than those of the experts. This study revealed that the joint angular fluctuation would be able to be applied as a criterion of motion repeatability.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Kato M., Sato T., Shimodaira Y.",56563366200;55702775400;55337879300;,"Kato, M., Waseda University, 279-15 Mikajima 2, Tokorozawa Saitama, 359-1192, Japan; Sato, T., Jissen Women's University, 1-1 Osakaue 4, Hino Tokyo, 191-8510, Japan; Shimodaira, Y., Nagano Prefectural College, 49-7 Miwa 8, Nagano, 380-8525, Japan","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",1.0
Rock fall simulation using 3D models reconstructed from multiple-view images,2015,2-s2.0-84969141847,"This paper proposes a method of rock fall simulation using physics engine and 3D models reconstructed by Image-Based Modeling technique. The shape of rocks is important to estimate the accurate way of leap and route of falling motion in 3D simulation. However, in most current researches, although the 3D model of slope is well accurately scanned using a laser scanner, it is not sufficient to estimate the complex behavior of falling rocks due to modeling the shape of rocks is too simple such as sphere or cube. Our proposed method generates 3D models in more accurate shape using Image-Based Modeling technique. The estimated scales are precisely reconstructed as compared with the real measured ones. We evaluate our method in some different places and conduct on rock fall simulation. As the result, by applying physics engine to simulation of falling motion, we confirm that the shape of falling rocks improves the estimation of falling route.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Atsumi S., Kitahara I., Ohta Y.",57189320651;6603549979;7403675576;,"Atsumi, S., Department of Intelligent Interaction Technologies, University of Tsukuba, Tsukuba Science City, Tennoudai 1-1-1, Ibaraki, Japan; Kitahara, I., Department of Intelligent Interaction Technologies, University of Tsukuba, Tsukuba Science City, Tennoudai 1-1-1, Ibaraki, Japan; Ohta, Y., Department of Intelligent Interaction Technologies, University of Tsukuba, Tsukuba Science City, Tennoudai 1-1-1, Ibaraki, Japan","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Computer-aided tool for breast tumour analysis purposes,2015,2-s2.0-84969141790,"This work introduces a tool specifically designed to help pathologists in their daily work. The software tool integrates several applications related to different tumoral parameters very useful to analyze and detect tumours. All the proposed algorithms have in common the use of the most suitable colour space in every case in order to isolate the different tissues and therefore, to perform an appropriate segmentation. Results are presented for every single application, showing a great deal of accuracy in most cases, in comparison with that obtained by specialists in a manual way. The tool contributes to a higher level of assurance when estimating the seriousness of a tumour and its subsequent diagnosis.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,Palacios-Navarro G.,57211534046;,"Palacios-Navarro, G., University of Zaragoza, Teruel, Spain, Universidad de Las Fuerzas Armadas ESPE, Sangolqui, Ecuador, SENESCYT, Ecuador","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",1.0
Multimodal robots as educational tools in primary and lower secondary education,2015,2-s2.0-84969135656,"Multimodal humanoid robots have been used as educational tools in primary and lower secondary schools. The pupils involved were between 11 and 16 years old. The learning goals included: programming, language learning, ethics, technology and mathematics, e.g. practised by 7th grade pupils who programmed the robots and made the robots recite poems about the future. We conducted workshops for the teachers in didactical planning and programming of the robots. In the most successful settings, the pupils worked with academic objectives beyond programming and robotics. Through examples, we highlighted the potentials and the shortcomings in multimodal-robot-supported learning.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,Majgaard G.,36133638200;,"Majgaard, G., University of Southern Denmark, Maersk Mc-Kinney Moller Institute, Campusvej 55, Odense M, 5230, Denmark","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",1.0
Towards ludoacoustic immersion perspectives on transcending the virtual and the real of functional sound and music in interactive media,2015,2-s2.0-84969135584,"Regardless of listening to a small studio or to a huge cathedral, the environment in which sound and music is performed can act as an agent of meaning in how we relate to our actual surroundings. Applying a short reverb on a love song may point at a setting of upfront intimacy and accessibility. On the other hand, situating that song within the blurry inaccessible spaciousness of a cathedral may not improve your chances to make your date stay past dessert. In both cases expressive compatibility of room acoustics is determined on expectations generated from the music material: But does the environment as well as its functional setting in user interaction also arouse expectations towards the expressive properties of sound/music? And how might these properties affect selective attention, the sense of immersion/presence and finally the decoding of semiotic agents in the music dramaturgy of an interactive environment? In recorded sound-fx and music, expressive artifacts of space contribute to forming expectations on how an object [sound source] is interacting with an environment [room] while also accounting for the associated resonances occurring in that object. By switching attentional focus between action and resonance in object and environment as a result of comparing expectations to incoming stimuli, the context of a virtual situation is simulated by referencing to a syntax on body-object-environment interaction. This virtual syntax may be partially projected onto the situational context of the recipient leading to antecedents of immersion depending on emotional arousal and personality traits such as empathising-systemising. After having outlined a conceptual framework describing the mediation and agency detection of sonic expression within the acoustic properties of situational contexts, the last part of the paper shall provide an outlook on how these agents may be translated to meaningful structures that are yet to be studied in interactive media such as video games.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,Gasselseder H.-P.,56287770500;,"Gasselseder, H.-P., Aalborg University, Department of Communication and Psychology, Musikkens Plads 1, Aalborg, 9000, Denmark","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Extracting pupil contour with hough transform of connected component boundaries,2015,2-s2.0-84969135560,"A method for determining the pupil boundary in the image of eye is proposed. The method is based on examining connected components of binarized image. The components are first sorted according to probability to contain pupil, which is estimated from their inertia moments by empirically derived rules. Hough transform is applied to border of the component and outlines the center of most pronounced circular arc. If center hypothesis is strong enough the histogram of distances of border points to this center is built. If pronounced maximum exists on the histogram it means that a circle or an arc is present in this component, which is taken for pupil boundary. The method benefits from both stability of Hough approach and small number of pixels detected as boundaries of connected components. Tests were performed with several iris image databases from public domain.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Matveev I.A., Chinaev N.N., Novik V.P.",7007130523;56786420200;56740557000;,"Matveev, I.A., Computing Center, Russian Academy of Sciences, Vavilov str., 40, Moscow, 119333, Russian Federation; Chinaev, N.N., Moscow Institute of Physics and Technology, Institutsky per., 9, Dolgoprudny, Moscow Region, 141700, Russian Federation; Novik, V.P., Iritech Inc., Moscow R and D office, B.Tatarskaya str., 21, Moscow, 115184, Russian Federation","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
Static and dynamic object reconstruction using phase shifting of De Bruijn pattern,2015,2-s2.0-84969135482,A novel structured light method for color 3D surface profilometry is proposed. The proposed method may be used for reconstruction of both static and moving objects and does not require accurate color calibration of a camera-projector pair. The method is based on a structured light pattern that is a combination of a De Bruijn color sequence and of a sinusoidal fringe pattern. For static scenes phase-shifting and the De Bruijn window property are combined to obtain a high accuracy reconstruction. For dynamic scenes the Hessian ridge detector is applied to find stripes whose colors are decoded using a Gaussian mixture model. The De Bruijn window property and dynamic programming then uniquely identify projected stripes yielding a spatially sparser reconstruction. We have tested the proposed method on multiple objects with challenging surfaces and different albedos that clearly demonstrate both usability and robustness.,IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Donlic M., Petkovic T., Pribanic T.",57189328550;57197169427;6507860290;,"Donlic, M., University of Zagreb, Faculty of Electrical Engineering and Computing, Unska 3, Zagreb, HR-10000, Croatia; Petkovic, T., University of Zagreb, Faculty of Electrical Engineering and Computing, Unska 3, Zagreb, HR-10000, Croatia; Pribanic, T., University of Zagreb, Faculty of Electrical Engineering and Computing, Unska 3, Zagreb, HR-10000, Croatia","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
3D foot scanning in flexible manufacturing: Comparisation and deformation solution,2015,2-s2.0-84969134887,"One of the new emerging areas of ubiquitous manufacturing is ""Mass Customization"". A new production technology (also called 3D non-contact optical scanning) has been developed that can revolutionize the way how mass customization products are delivered by fast, flexible, and cost-effective production directly from 3D foot data to satisfy the fit and comfort requirement of costumers. In this paper in order to produce the right fit and comfort footwear, an algorithm for cutting 3D triangle mesh to several sections from heel toward toe is proposed. Then the area of each contour is calculated and searched in shoe last data base for finding the similar shoe last's contour. If the area and shape of provided foot's contour and shoe last's contour are the same, that one is chosen as the best fit, otherwise the shoe last's contour which has the same or near area by different shape is deformed based on the foot's contour.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Savadkoohi B.T., De Amicis R.",36024134300;14008154100;,"Savadkoohi, B.T., Seraj Higher Education Institute, Department of Computer and Electrical Engineering, No.283, Bahar Cross Road, Monajem Street, Tabriz, Iran; De Amicis, R., Fondazione GraphiTech, Via Alla Cascata, 56/c, Povo, Trento, 38123, Italy","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",1.0
Brain-computer interface approach to computer-aided design: Rotate and zoom in/out in 3ds Max via imagination,2015,2-s2.0-84969134707,"To increase the efficiency of 3D modeling, the sophisticate CAD users must memorize different hotkey combinations for different softwares. Hence, the challenge of the research is to find out how to create a more intuitive and natural ""rotate"" and ""zoom in/out"" command in 3D CAD modeling. The research creates a ""BCI embedded CAD"" system prototype via EPOC+ with the connection between 3D studio Max and brainwaves. Through the system, the user can easily control the 3D viewport (zoom in/out) in 3D CAD environment through ""thinking the commends"". In the future study, the ""BCI embedded CAD"" can be modified as a cross-platform 3D CAD interface that enables users to use imagination to control 3D modeling among different softwares (Maya, 3D studio Max, and Rihno) rather than traditional text-based commands or graphical icons.",IADIS,"International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015",22 July 2015 through 24 July 2015,"Huang Y.-C., Chen K.-L., Wu M.-Y., Tu Y.-W., Huang S.C.-C.",55578983500;57189328732;57198542757;57189324573;35519807100;,"Huang, Y.-C., College of Design, Tatung University, Taiwan; Chen, K.-L., Dept. of Electrical Engineering, National Taiwan University, Taiwan; Wu, M.-Y., College of Design, Tatung University, Taiwan; Tu, Y.-W., College of Design, Tatung University, Taiwan; Huang, S.C.-C., Department of Industrial Design, Chung Hua University, Taiwan","Proceedings of the International Conferences on Interfaces and Human Computer Interaction 2015, IHCI 2015, Game and Entertainment Technologies 2015, GET 2015 and Computer Graphics, Visualization, Computer Vision and Image Processing 2015, CGVCVIP 2015 - Part of the Multi Conference on Computer Science and Information Systems 2015","Proc. Int. Conf. Interfaces Hum. Comput. Interact., IHCI, Game Entertain. Technol., GET Comput. Graph., Vis., Comput. Vis. Image Process., CGVCVIP - Part Multi Conf. Comput. Sci. Inf. Syst.",
